[1QG8ak7VN7yKDU8ra3xKrLUxXtyko6hYmq;18309510000]:[1HeW9jjPBbmVBbs2PS6D5BNkBqiz4TaYAp;18308510000,1426aQimaqbPuJtkr3X1BP1MPjCA48a2rZ;1000000]
[1FqwKJRqsSfVWnyQSq5JoSQX1Kt817CtVK;18299000000]:[1MaDvQjGPwDPDFTjcP6oBLa3t8616N8oGW;17594888690,1BS2aJpEuRvCe2jNbyKTNv2DQmRnuvjUNv;704111310]
[1F24FJw3RYM1YxFP294v5ukTXjiSW2yMjR;2029550000]:[16W3bdV8e3YYv7PpbgWm54w5vdZsNZvgck;2026550000,1PhZNVpwkiZ59n5UsWw8tmvVhtfLvu5WKf;3000000]
[1AAE2ebXkyaNAohV6UgAvqD8e2nSqNMNvW;1000000000]:[1C8BS4DxCg9dXHzbtBR3Q2PRiuy35a3GeJ;1000000000]
[1PBU86oBMtHVZapgjJsBs65NuHMbcECfp6;113000000]:[16BM1sQ5DdE7H9wMsk1ARbXcHJHjZEBX3H;2950000,12jMy2q9TrwerAg4bhViVqhw7TGxT6aY7m;110000000]
[1BhypggASisWsrYbQXrTLTNkMR8xJMKpt2;2709000000]:[19wXhCuvBHik4YfsZnHWppotMdueTs5ZLR;2693000000,18qjZVq2RPZN3DBByjR9z6NdHT99WpMGWG;15000000]
[1JNMChJUhnWndJs2n616x9q1LGgfSw2VEu;13539000000]:[14dcbHEVBn19iN8TjhRmyAfjwp9gVJSAkd;13535000000,1AKRaRoZipVfi3m94Sv24MQvdvtACdBGb2;4000000]
[1PjCge8Gz32UDcAwJoR8pYbD35iaYaNpuD;15282000000]:[13RJbLb7oTfqgnQaXkXYGhnMY99riXWpQp;8582000000,162sbyyHh9JQS4Y8NMcfFfAaCRRapjb3vN;6700000000]
[1EYUUNSXY1uWvjNaUhaJKiVK6FSAMiPyhL;563413884]:[1DK1fJseGgwwNNinoJRMngJKpD81gCSXab;558413884,1jbMAVAe7ixJSt8G3YjX2KYUNBATsuqLH;5000000]
[16p6rjrv4maLeRiiQR1mqKkSVcVZojg2pr;36627050000]:[1FQxpeN3S3ggMuw3nfZ5de3WaeW2RjzPpJ;36621050000,14vuq1a1goJY1QqJSYAZ7dr3KbVCBMzcJ8;6000000]
